北京,"新出(采光超棒),南入户,绿地300平,临景观带,三室南向",独栋|卧室：7个|297.46㎡|南向|赵新新,御汤山熙园小汤山-皇家汤泉行宫原址顺沙路99号院,56478元/㎡,1680万
北京,"御汤山,精装独栋,B户型,北入户,紧邻绿地中心公园,看房方便",独栋|卧室：6个|455.27㎡|南向|赵新新,御汤山小汤山-御汤山,43929元/㎡,2000万
北京,远洋傲北二期精装电梯联排别墅5室3厅拎包入住南北绿地100平,独栋|卧室：5个|390.82㎡|南向|周岩,远洋傲北别墅北七家-北七家立汤路39号,37357元/㎡,1460万
北京,"精装D户型,三间南向套房,装修维护好,看房有钥匙",独栋|卧室：6个|300.01㎡|南向|赵新新,御汤山小汤山-御汤山,52998元/㎡,1590万
北京,"北七家金隅上城郡4室小联排,南北通透,北入户,看房随时",独栋|卧室：4个|213.65㎡|南向|张丽,金隅上城郡北七家-(昌平)北亚花园东路,46758元/㎡,999万
北京,"精装D户型,三间南向套房,装修维护好,看房有钥匙",独栋|卧室：6个|300.01㎡|南向|李敏,御汤山小汤山-御汤山,52998元/㎡,1590万
北京,"新出(采光超棒),南入户,绿地300平,临景观带,三室南向",独栋|卧室：7个|297.46㎡|南向|纪倩倩,御汤山熙园小汤山-皇家汤泉行宫原址顺沙路99号院,56478元/㎡,1680万
北京,"御汤山熙园独栋别墅区的一套好房推荐,B户型,随时看价格可以谈",独栋|卧室：5个|455.27㎡|南向|周岩,御汤山熙园小汤山-皇家汤泉行宫原址顺沙路99号院,32925元/㎡,1499万
北京,"新上大面宽下叠,4室下叠,三房朝南,客厅朝南,南北院满二",独栋|卧室：4个|243.83㎡|南向|周岩,金隅上城郡北七家-(昌平)北亚花园东路,48394元/㎡,1180万
北京,"新上好房源!好位置不临街,联排南北双花园带大路台,现房随时看",独栋|卧室：4个|310.76㎡|东向|马世杰,北京合院顺义城-燕京街与通顺路交汇口东800米(仁和公园南),41189元/㎡,1280万
北京,南客厅南花园 新装次新房 拎包住 7米挑空 仅契税 总.价低,独栋|卧室：7个|370.74㎡|南向|李敏,北辰红橡墅北七家-(昌平)立汤路与温榆河交界处,42617元/㎡,1580万
北京,"金隅上城郡宽墅联排中间户,基础装修,看房方便",独栋|卧室：3个|265.97㎡|南向|周岩,金隅上城郡北七家-(昌平)北亚花园东路,45117元/㎡,1200万
北京,海淀区安宁庄上林溪1室1厅,1室1厅|44.3㎡|中层（共9层）|南北向|2013年建|牛艳菁,"上林溪安宁庄-(海淀)安宁庄东路,安宁华庭",115124元/㎡,510万
北京,"我老业主的房子,带产权车位",3室2厅|174.06㎡|高层（共14层）|南北向|2014年建|杨慢慢,"招商嘉铭珑原立水桥-奥林匹克公园北侧,清河路清河湾高尔夫球场东侧",89049元/㎡,1550万
北京,国企现房别墅 三卧朝南 配套成熟 所见即所得 周末看房找我吧,独栋|卧室：4个|325㎡|南向|胥自强,北京合院顺义城-燕京街与通顺路交汇口东800米(仁和公园南),30763元/㎡,999.81万
北京,名都园四期独栋 挨着会所 百米间距 独立车库 门前可停3辆车,独栋|卧室：4个|228㎡|东向|陈莉,"名都园别墅中央别墅区-后沙峪乡白辛庄村南,新国展对面榆阳路6号",74122元/㎡,1690万
北京,"万科中央别墅区观承1180万合院,同看首开988万现房别墅",独栋|卧室：5个|361㎡|南向|胥自强,观承别墅大家后沙峪-观承别墅区接待中心(京承高速8号出口),33795元/㎡,1220万
北京,"万科精装别墅!上三下二,地下7.5米大挑空!带私家车库",独栋|卧室：4个|442㎡|南向|胥自强,观承别墅大家后沙峪-观承别墅区接待中心(京承高速8号出口),32805元/㎡,1450万
北京,"御汤山精装修独栋别墅,4居室,满五年,拎包入住",独栋|卧室：6个|300.01㎡|南向|郑国宝,御汤山小汤山-御汤山,52998元/㎡,1590万
北京,户均占地一亩 私汤温泉入户 私藏一座天然山体 精装修拎包入住,独栋|卧室：5个|569㎡|南向|张文运,御汤山熙园小汤山-皇家汤泉行宫原址顺沙路99号院,39191元/㎡,2230万
北京,"御汤山 电梯样板间,价可大 议,诚信出售 看房有钥匙,",独栋|卧室：5个|374.09㎡|南向|赵新新,御汤山小汤山-御汤山,50522元/㎡,1890万
北京,业主急售一千一百万 合院别墅边户 钥匙在手随时看观承别墅,独栋|卧室：4个|309㎡|南向|黄子贤,观承别墅大家后沙峪-观承别墅区接待中心(京承高速8号出口),44627元/㎡,1379万
北京,"一期现房,精装全明洋房五居室)中间楼层采光视野好!同看誉天下",4室2厅|140㎡|高层（共8层）|南北向|2017年建|刘克学,富力首开·金禧璞瑅顺义其它-高白路与九厂路交叉口西,36428元/㎡,510万
北京,"熙园新出A户型,客厅朝南,旋转楼梯,东南绿地400平,有钥匙",独栋|卧室：5个|473.25㎡|南向|纪倩倩,御汤山熙园小汤山-皇家汤泉行宫原址顺沙路99号院,41204元/㎡,1950万
北京,未来科学城 性价比 现房独栋别墅 拎包入住 可谈,独栋|卧室：5个|476㎡|南向|尹春雨,温哥华森林北七家-温哥华森林,59936元/㎡,2853万
北京,别墅区低密精装洋房现房 总楼层5层 拎包入住 电梯入户,独栋|卧室：3个|120㎡|南向|刘保旗,"誉天下中央别墅区-中央别墅区温榆河畔,机场杨林出口1000米",45833元/㎡,550万
北京,"豪装样板间,南向大客厅,看房有钥匙,全房有地暖",独栋|卧室：5个|374.09㎡|南向|纪倩倩,御汤山小汤山-御汤山,50522元/㎡,1890万
北京,"御汤山精装大户型,客厅挑高,北入户,园区内边户,朝南大客厅",独栋|卧室：6个|379.97㎡|南向|张丽,御汤山小汤山-御汤山,48688元/㎡,1850万
北京,北京玫瑰园6室4厅精装修,独栋|卧室：6个|707.86㎡|南向|李晓通,北京玫瑰园沙河-沙河镇北八达岭高速路22出口沙河镇小寨村,70635元/㎡,5000万
北京,"海淀北 园区能爬山泡温泉的现房独栋,南北通透公园里的家",独栋|卧室：5个|330㎡|南向|尹春雨,御汤山熙园小汤山-皇家汤泉行宫原址顺沙路99号院,53333元/㎡,1760万
北京,"亚奥北,现房独栋温泉入户,景好房好,再也不会有了",独栋|卧室：5个|429㎡|南向|尹春雨,御汤山小汤山-御汤山,43799元/㎡,1879万
北京,"熙园新出A户型,客厅朝南,旋转楼梯,南入户,东南绿地400平",独栋|卧室：5个|473.25㎡|南向|赵新新,御汤山熙园小汤山-皇家汤泉行宫原址顺沙路99号院,41204元/㎡,1950万
北京,南北通透誉天下盛寓5室3厅豪华装修,5室3厅|399㎡|底层（共4层）|南北向|2016年建|龙洪江,誉天下盛寓中央别墅区-天竺镇薛大人庄村,40100元/㎡,1600万
北京,金科天玺独栋别墅 本月好房急售 大户型 公摊面积少,联排|卧室：5个|430.95㎡|南向|周宇容,金科天玺小汤山-小汤山顺沙路68号九华山庄向东300米,30165元/㎡,1300万
北京,国企现房别墅 三卧朝南 配套成熟 所见即所得 周末看房找我吧,独栋|卧室：4个|325㎡|南向|连海潮,北京合院顺义城-燕京街与通顺路交汇口东800米(仁和公园南),30763元/㎡,999.81万
北京,优推房源 精装修大户型 观景好房 高尔夫球场 门口绿地,独栋|卧室：4个|396㎡|南向|尹春雨,御汤山小汤山-御汤山,44949元/㎡,1780万
北京,北辰红橡墅 精装联排 北美风格 中庭挑空 方便看房,联排|卧室：3个|370.74㎡|南向|周宇容,北辰红橡墅北七家-(昌平)立汤路与温榆河交界处,41808元/㎡,1550万
北京,"独栋独栋,采光好,带地暖有独立车库,性价比高,成熟社区优质!",独栋|卧室：4个|310㎡|南向|蒋俊林,龙湾别墅中央别墅区-龙湾别墅,59677元/㎡,1850万
北京,橘郡 南向大面宽 精装独栋 南北楼间距30米,独栋|卧室：3个|241.47㎡|南向|赵新新,橘郡小汤山-亚运村正北方向16公里,60048元/㎡,1450万
北京,燕西台!2022年装修(未住)层高3.1米(五居室加1书房),联排|卧室：5个|323.95㎡|北向|田琪,燕西台西山-四季青镇巨山村巨山新村小区C区,108967元/㎡,3530万
北京,"800平山水独栋,实景现房椛园500平)同看格拉斯与观承别墅",独栋|卧室：4个|420.83㎡|南向|陈鹏,御汤山熙园小汤山-皇家汤泉行宫原址顺沙路99号院,45148元/㎡,1900万
北京,中央别墅区!600平米大平层!35米及致面宽尺度!看房联系,5室2厅|600㎡|中层（共5层）|南北向|2020年建|陈鹏,富力首开·金禧璞瑅顺义其它-高白路与九厂路交叉口西,22500元/㎡,1350万
北京,前二后三!大面宽短进深!南厅!双挑空!尽享奢阔!上叠7百万起,独栋|卧室：7个|515㎡|南向|胥自强,凯德麓语昌平其它-京承高速G11出口向西怀昌路北侧,27165元/㎡,1399万
北京,(海淀北 别墅红盘 )玖瀛府 精装 看房随时联系 车接车啊,独栋|卧室：4个|195㎡|东向|胥自强,玖瀛府南邵-南邵镇南金路7号院,45128元/㎡,880万
北京,"观承别墅大家,家的归属,缘分的开始!",独栋|卧室：3个|350㎡|东向|董晋斐,观承别墅大家后沙峪-观承别墅区接待中心(京承高速8号出口),33142元/㎡,1160万
北京,北五环 万科精装合院别墅 1200多万 看房随时找我。,独栋|卧室：4个|300㎡|东向|宋尚涛,观承别墅大家后沙峪-观承别墅区接待中心(京承高速8号出口),40666元/㎡,1220万
北京,"政策已经至此,房价逐渐回升,观望后悔莫及!",独栋|卧室：5个|580㎡|南向|董晋斐,御汤山熙园小汤山-皇家汤泉行宫原址顺沙路99号院,46551元/㎡,2700万
北京,一期必看 双拼东边户 南北双花园 全新房一天未住 视野开阔,独栋|卧室：4个|275㎡|南向|刘保旗,"誉天下中央别墅区-中央别墅区温榆河畔,机场杨林出口1000米",34545元/㎡,950万
北京,世纪城 晴雪园 眼睛三居室 南北双通透 临绿化带 很少出房,3室2厅|164.48㎡|低层（共10层）|南北向|2017年建|白山山,"世纪城晴雪园世纪城-蓝靛厂中路,火器营地铁站西侧",142874元/㎡,2350万
北京,浪漫法式联排别墅 面宽9.3米南北双绿地 室内高挑空,联排|卧室：4个|480㎡|南向|宋尚涛,凯德麓语昌平其它-京承高速G11出口向西怀昌路北侧,26250元/㎡,1260万
北京,三居室 中间楼层 动静分离 南北通透 户型方正,3室2厅|166.59㎡|中层（共11层）|南北向|任力,世纪城观山园世纪城-蓝靛厂路19号,166876元/㎡,2780万
北京,南客厅南花园 新装次新房 拎包住 7米挑空 仅契税 总.价低,独栋|卧室：7个|370.74㎡|南向|赵新新,北辰红橡墅北七家-(昌平)立汤路与温榆河交界处,42617元/㎡,1580万
北京,现房别墅 南北双院 可精装 配套成熟 周末看房随时联系我,独栋|卧室：4个|220㎡|南向|连海潮,北京合院顺义城-燕京街与通顺路交汇口东800米(仁和公园南),38045元/㎡,837万
北京,"金隅上城郡联排别墅,精装修,没住过,室内电梯,全新家具家电",独栋|卧室：5个|210.19㎡|南向|周岩,金隅上城郡北七家-(昌平)北亚花园东路,46862元/㎡,985万
北京,"熙园大户型,温泉独栋)8米挑空客厅,四居室全套房,同看凯德",独栋|卧室：6个|401.6㎡|南向|胥自强,御汤山熙园小汤山-皇家汤泉行宫原址顺沙路99号院,54300元/㎡,2180.7万
城市,标题,房源信息描述,房源位置信息,单价,房总款
北京,急售+直降300W+前排五号楼中层+保养好拎包入住+缦合北京,4室3厅|447.82㎡|低层（共27层）|南北向|2017年建|范雨,合生霄云路8号燕莎-四环内霄云路8号,122817元/㎡,5500万
北京,北京城建 现房联排合院 实景呈现 临双公园 周边配套全,联排|卧室：4个|281㎡|南向|宋尚涛,北京合院顺义城-燕京街与通顺路交汇口东800米(仁和公园南),34199元/㎡,961万
北京,新出超性价比大四居 双卧朝西南 每天就能沐浴阳光 价可聊,4室2厅|203㎡|中层（共19层）|西南向|2006年建|廖小玲,世纪城远大园四区世纪城-远大南街和远大中路交汇处东南,97536元/㎡,1980万
北京,南客厅南花园 新装次新房 拎包住 7米挑空 仅契税 总.价低,独栋|卧室：7个|370.74㎡|南向|赵新新,北辰红橡墅北七家-(昌平)立汤路与温榆河交界处,42617元/㎡,1580万
北京,"金隅上城郡次新房 英伦别墅,国企打造 下叠 售价1200万",独栋|卧室：3个|253.28㎡|南向|周岩,金隅上城郡北七家-(昌平)北亚花园东路,47378元/㎡,1200万
北京,北京太阳城南北通透三居室、观景楼、眼镜房、带南北双阳台。,3室2厅|140.65㎡|低层（共12层）|南北向|2008年建|周岩,"北京太阳城北七家-(昌平)北京太阳城国际老年公寓,立汤路30号",30927元/㎡,435万
北京,北七家北辰红橡墅双拼 大花园 毛坯房 南入户 大面宽,独栋|卧室：6个|507.12㎡|南向|李革,北辰红橡墅北七家-(昌平)立汤路与温榆河交界处,40621元/㎡,2060万
北京,"纳帕溪谷新出好房,边户,花园300平米,户型合理无浪费",独栋|卧室：3个|281.75㎡|南向|周岩,纳帕溪谷小汤山-小汤山镇顺沙路68号(近葫芦河),46140元/㎡,1300万
北京,北七家北京太阳城带电梯121平米两居精装修南北通透满五,2室2厅|121.58㎡|低层（共6层）|南北向|2008年建|周岩,"北京太阳城北七家-(昌平)北京太阳城国际老年公寓,立汤路30号",30021元/㎡,365万
北京,北五环 万科精装合院别墅 1200多万 看房随时找我。,独栋|卧室：4个|300㎡|东向|宋尚涛,观承别墅大家后沙峪-观承别墅区接待中心(京承高速8号出口),40666元/㎡,1220万
北京,"(店长力荐)急售,法式精装独栋,客厅挑空,有电梯双车库",独栋|卧室：7个|515.32㎡|南向|胥自强,凯德麓语昌平其它-京承高速G11出口向西怀昌路北侧,27148元/㎡,1399万
北京,"北辰红橡墅大联排边户,一层有卧室,看房方便,业主诚意出售",独栋|卧室：5个|430.78㎡|南向|李革,北辰红橡墅北七家-(昌平)立汤路与温榆河交界处,30154元/㎡,1299万
北京,前二后三!大面宽短进深!南厅!双挑空!尽享奢阔!上叠7百万起,独栋|卧室：7个|515㎡|南向|胥自强,凯德麓语昌平其它-京承高速G11出口向西怀昌路北侧,27165元/㎡,1399万
北京,龙湾别墅 5室2厅3卫 品质小区 带储藏间,独栋|卧室：5个|380㎡|南向|夏艳洪,龙湾别墅中央别墅区-龙湾别墅,53947元/㎡,2050万
北京,与自然融为一体 生态极佳山水别墅 法式纯石材立面 私家车库,独栋|卧室：4个|430㎡|南向|巩彩云,凯德麓语昌平其它-京承高速G11出口向西怀昌路北侧,26046元/㎡,1120万
北京,历史惊爆价 独栋大边户大花园 上二下一 不临街 看房方便,独栋|卧室：6个|318㎡|南向|刘保旗,丽斯花园中央别墅区-开发街16号,99056元/㎡,3150万
北京,"边户好位置,纯地上两层独栋,新做暖气,绿地300平米",独栋|卧室：3个|207.89㎡|南向|郑国宝,纳帕溪谷小汤山-小汤山镇顺沙路68号(近葫芦河),56760元/㎡,1180万
